Year,Processing Snapshot Date,Scholarship Name,Metric Type,Metric Value,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,College Region Name,Headcount Type,Headcount
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,955,2853,SUNY MARITIME COLLEGE,New York City,Eligible Applicant(s),1+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,960,2668,ALFRED UNIVERSITY,Western New York,Eligible Applicant(s),1+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,970,6791,SUC PURCHASE,Hudson Valley,Eligible Applicant(s),1+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,1010,2837,SUNY BUFFALO,Western New York,Eligible Applicant(s),51+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,3005,2854,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),5+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,3010,2855,SUNY COLLEGE OF TECH AT CANTON,North Country,Eligible Applicant(s),3+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,3015,2856,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),1+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,4975,11678,SUNY POLYTECHNIC INSTITUTE,Mohawk Valley,Eligible Applicant(s),12+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,6005,2854,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),3+ACI-
+ACI-2014,09/25/2014,+ACIAIg-NYS Science, Technology, Engineering and Mathematics Incentive Program+ACIAIg-,College,,PUBLIC,3+AC0-SUNY SO,6010,2855,SUNY COLLEGE OF TECH AT CANTON,North Country,Eligible Applicant(s),1+ACI-
